threshold,Treat_All,Uncalibrated,Platt,Isotonic,SOFA
0.39,-0.37577329539254456,0.03397883038284942,0.05162297600161164,0.055710844182552274,-0.06096547556092771
0.4,-0.3987028503157536,0.03379416282642088,0.05069124423963133,0.05478750640040963,-0.06468680662229051
0.41000000000000003,-0.422409678287207,0.03183281696130247,0.048877433240473146,0.05383286903243164,-0.0685342844992927
0.42000000000000004,-0.44693398308526244,0.03047477797199709,0.04753076610696187,0.05284531313452337,-0.07251443402722604
0.43,-0.47231878980605624,0.0298595952246207,0.04690938816575489,0.051823106152477975,-0.021694019996227127
0.44,-0.4986101967668788,0.029149294126252653,0.04630239192451174,0.050764391778216664,-0.02304147465437788
0.45,-0.5258576548899129,0.026392961876832863,0.04571056183959409,0.04966717869943677,-0.024437927663734118
0.46,-0.554114278128615,0.024368967021296775,0.04426238834840985,0.04852932809922057,-0.02588610115491836
0.47000000000000003,-0.5834371890367022,0.02210435807514323,0.04321363359707851,0.04734853974050566,-0.027388922702373707
0.48000000000000004,-0.6138879042104849,0.02087518216550474,0.04167159005868683,0.04612233644491709,-0.015873015873015872
0.49,-0.645532765077357,0.020842745700430723,0.040540947561820424,0.04484804674557996,-0.01687700169673604
0.5,-0.6784434203789043,0.017921146953405007,0.03840245775729646,0.043522785458269334,-0.017921146953405017
0.51,-0.7126973677335758,0.016583591962130467,0.03726344608503923,0.0406073335632256,-0.019007910383815586
0.52,-0.7483785628946921,0.017579791773340153,0.03609831029185867,0.03917050691244239,-0.020139955623826596
0.53,-0.7855781067860685,0.015546186445294194,0.03388131734047999,0.037672538702051395,-0.01252846139599743
0.54,-0.8243950221509829,0.011932589772701965,0.031033638326765964,0.036109441439034703,-0.013357376611233554
0.55,-0.8649371337543383,0.01166296865221593,0.03038061102577231,0.0344768731865506,-0.0142231325027024
0.56,-0.9073220686123913,0.007308104082297623,0.028441092957221983,0.03277009728622631,-0.01512824093469255
0.5700000000000001,-0.9516783957894239,0.004262970504530866,0.02641136474594838,0.03098393646030554,-0.0160754474332869
0.5800000000000001,-0.9981469290225053,0.0019262185160802414,0.027113354302294383,0.029112720356959977,-0.009021529758856952
0.59,-1.0468822199742733,0.0026600726836761707,0.027212668440048465,0.027150225419304896,-0.009616225194510006
0.6,-1.0980542754736302,0.0020481310803891484,0.026625704045058894,0.025089605734767033,-0.010240655401945723
0.61,-1.151850538947313,0.005133456746359982,0.023947378786088463,0.02292331324589389,-0.01089710767130122
0.62,-1.2084781847090844,0.0022367747325302556,0.02064300536286954,0.02064300536286954,-0.004904734955668741
0.63,-1.2681667842958164,0.002947648108938425,0.019983116757310314,0.018239437594276306,-0.005341747277231149
0.64,-1.3311714171929228,0.0007964954201513247,0.01792114695340502,0.01570233828298344,-0.005803038061102578
0.65,-1.3977763148270064,0.001974983541803796,0.01579986833443054,0.013020261868188124,-0.006290688318338089
0.66,-1.4682991476160359,0.0008433480919249337,0.014607993735128458,0.0101804162525225,-0.006807023884822747
0.67,-1.5430960914831886,-0.0006516780710329184,0.010845785039333415,0.0071684587813619915,-0.0021567440922279644
0.68,-1.6225678443420384,0.001152073732718889,0.009024577572964654,0.003968253968253954,-0.002496159754224272
0.6900000000000001,-1.7071668070627495,0.0005615843284937777,0.008886246139107726,0.0005615843284937777,-0.0028574732008655023
0.7000000000000001,-1.7974057006315076,0.003072196620583695,0.005803038061102564,-0.0030721966205837364,-0.0032428742106161475
0.7100000000000001,-1.8938679661705253,0.0025071949432349527,0.0019951621731376656,0.003478291576178072,-0.0031957907375037547
0.72,-1.9972203935337574,7.314753858532475e-05,7.314753858532475e-05,7.314753858532475e-05,-0.0035110818520956762
0.73,-2.10822855625723,-9.482088335133199e-05,-0.0008154595968215966,-0.0035842293906809958,-0.0038497278640647805
0.74,-2.2277758084209696,-0.0024420024420024333,-0.0022056796250344707,-0.00752294300681397,-0.004214423569262278
0.75,-2.3568868407578085,-0.0030721966205837226,-0.007168458781362005,-0.01177675371223759,-0.0030721966205837174
0.76,-2.496757125789384,-0.008277863116572796,-0.011350059737156512,-0.016385048643113173,-0.003328213005632361
0.77,-2.6487900443019656,-0.005743671942830431,-0.014693114272356908,-0.021394064872325758,-0.0036064916850330597
0.78,-2.814644137224783,-0.009309686729041575,-0.019271051529116054,-0.02685844621328494,-0.003910068426197459
0.79,-2.9962938580450107,-0.005315387803867082,-0.023577889937336963,-0.032843244824811685,-0.0042425572379489445
0.8,-3.1961085509472618,0.0010240655401945603,-0.02918586789554535,-0.03942652329749108,-0.004608294930875578
0.81,-3.4169563694181706,0.0020211819872261103,-0.03153043900072766,-0.035384159323038816,-0.005012531328320804
0.8200000000000001,-3.6623428343858464,0.0001706775900324059,-0.040166126187631594,-0.042271149798031565,0.0010240655401945725
0.8300000000000001,-3.9365982952320735,0.003584229390680982,-0.0460528297340442,-0.049968374446552874,0.0010240655401945725
0.8400000000000001,-4.245135688684079,0.0016641065028161553,-0.05248335893497192,-0.05248335893497192,0.0010240655401945725
0.85,-4.594811401263014,-0.00017067759003242672,-0.05086192182966376,-0.06144393241167435,0.0005120327700972862
0.86,-4.994440787067515,0.0011703606173652306,-0.060639309487235754,-0.07168458781362008,0.0005120327700972862
0.87,-5.455551616841939,0.0020875182165504755,-0.0620741265902556,-0.08350072866201899,0.0005120327700972862
0.88,-5.993514251578769,0.00426693975081072,-0.06707629288274451,-0.09728622631848441,0.0005120327700972862
0.89,-6.629288274449566,0.0017222920448726857,-0.07261555648652425,-0.11357817809430718,0.0005120327700972862
0.9,-7.392217101894523,-0.0010240655401945777,-0.06554019457245266,-0.13312852022529448,0.0005120327700972862
0.91,-8.324685668771693,0.00022757012004322869,-0.07151391022358769,-0.15702338282983452,0.0
0.92,-9.490271377368158,0.011776753712237577,-0.07245263696876608,-0.1315924219150027,0.0
0.93,-10.98888157413504,0.007387901397117978,-0.07431789920269193,-0.16085143734913337,0.0
0.9400000000000001,-12.987028503157548,0.003413551800648562,-0.07629288274449578,-0.19986345792797428,0.0
0.9500000000000001,-15.784434203789067,0.006656426011264706,-0.10445468509984661,-0.2544802867383517,0.0
0.9600000000000001,-19.98054275473634,-0.0005120327700973096,-0.08448540706605245,-0.3364055299539178,0.0
0.97,-26.97405700631505,-0.011947431302269999,-0.08209592080559813,-0.47294760197985963,0.0
0.98,-40.96108550947257,-0.023041474654377857,-0.0993343573988734,-0.7460317460317453,0.0
0.99,-82.92217101894514,0.0,-0.03481822836661542,-0.7163338453661028,0.0
