Threshold,Treat None,Treat All,Champion (Platt),Champion (Uncalibrated),SOFA,Age + SOFA
0.49,0.0,-0.6453269004762787,0.011690480608647254,0.000680398342302227,-0.10397723758273025,-0.2123461371930475
0.5,0.0,-0.6782334384858044,0.015772870662460574,0.0,-0.11041009463722398,-0.1892744479495268
0.51,0.0,-0.7124831004957188,0.016996072877100372,-0.0038627438357046323,-0.11710551728577867,-0.1601751110538853
0.52,0.0,-0.7481598317560464,0.014984227129337536,-0.0010515247108307257,-0.12407991587802317,-0.14826498422712936
0.53,0.0,-0.7853547217934091,0.01644405664809718,-0.00496677629371102,-0.0771863883482113,-0.12423652594133835
0.54,0.0,-0.824166780962831,0.01440131669181182,-0.014812782883006456,-0.08229323823892472,-0.12042243862295982
0.55,0.0,-0.8647038205397829,0.009113214160532748,-0.0112162635821942,-0.08762705923589208,-0.10445145460918337
0.56,0.0,-0.9070834528247779,0.006882707198164598,-0.014338973329509619,-0.09320332664181245,-0.09406366504158306
0.5700000000000001,0.0,-0.9514342307974474,0.004548455725918839,-0.017313476634142802,-0.09903895532242686,-0.0823123762013059
0.5800000000000001,0.0,-0.9978969505783389,0.002103049421661382,-0.021330929848280056,-0.0555805918581944,-0.07901457112813583
0.59,0.0,-1.046626144494883,-0.00046164499499884437,-0.021004847272447474,-0.059244441024851865,-0.07386319919981532
0.6,0.0,-1.0977917981072554,0.0063091482649842295,-0.015772870662460553,-0.06309148264984225,-0.05835962145110409
0.61,0.0,-1.151581331392057,0.0038825527784518282,-0.018037693116557466,-0.0671358084607296,-0.04780393108468819
0.62,0.0,-1.2082018927444795,-0.001826332392495432,-0.023244230449941894,-0.030217499584924458,-0.049643035032375896
0.63,0.0,-1.2678830249808168,0.0008525876033762536,-0.030437377440532,-0.03290988149032313,-0.042714638929149965
0.64,0.0,-1.3308797756747284,-0.0017525411847178415,-0.034700315457413256,-0.03575184016824397,-0.029442691903259738
0.65,0.0,-1.3974763406940065,-0.00766110860748085,-0.02163136547994593,-0.038756196484903124,-0.023884632717440298
0.66,0.0,-1.4679903507144183,-0.010577101503061799,-0.019484134347745416,-0.0419372796437187,-0.02041195026906662
0.67,0.0,-1.5427779370997041,-0.007265079820284882,-0.026574897237357828,-0.013287448618678914,-0.01003728133065673
0.68,0.0,-1.6222397476340698,-0.010252365930599382,-0.030757097791798138,-0.015378548895899069,-0.005126182965299691
0.6900000000000001,0.0,-1.7068281265900076,-0.01974152844204744,-0.02432074895695535,-0.01760455886842375,0.0003052813676605211
0.7000000000000001,0.0,-1.7970557308096744,-0.023133543638275515,-0.021030494216614112,-0.019978969505783407,-0.007360672975814938
0.7100000000000001,0.0,-1.8935059284238016,-0.026759490917002103,-0.020450342652017874,-0.019688893723485278,-0.00881105188730557
0.72,0.0,-1.996845425867508,-0.03064443442992338,-0.03064443442992338,-0.021631365479945916,-0.0135196034249662
0.73,0.0,-2.1078397008996377,-0.034817151536394426,-0.034817151536394426,-0.02371772403318144,-0.012968804766912019
0.74,0.0,-2.227371997088085,-0.030332443581654926,-0.030332443581654926,-0.025964571705896618,-0.01747148750303324
0.75,0.0,-2.356466876971609,-0.03470031545741325,-0.03470031545741325,-0.01892744479495268,-0.01892744479495268
0.76,0.0,-2.496319663512093,-0.03943217665615143,-0.03943217665615143,-0.020504731861198743,-0.020504731861198743
0.77,0.0,-2.648333561925662,-0.04457550404608423,-0.037169112604581,-0.022219174324509674,-0.0010972431765189968
0.78,0.0,-2.814166905649556,-0.050186406653283645,-0.04531115572125036,-0.024089475193576144,-0.0017206767995411529
0.79,0.0,-2.995793901156678,-0.04446447348655553,-0.05392819588403187,-0.026137899954934662,-0.0024034850533273273
0.8,0.0,-3.195583596214512,-0.05362776025236596,-0.022082018927444803,-0.02839116719242903,-0.0031545741324921165
0.81,0.0,-3.41640378548896,-0.06342354308484147,-0.029387348497426552,-0.03088162045492281,-0.0039847252199900415
0.8200000000000001,0.0,-3.661759551349458,-0.0739572379950929,-0.03399929898352613,0.006309148264984227,-0.004907115317209958
0.8300000000000001,0.0,-3.9359807014288384,-0.06680274633512717,-0.0423084060122472,0.006309148264984227,-0.00593802189645575
0.8400000000000001,0.0,-4.244479495268142,-0.04179810725552056,-0.037854889589905405,0.006309148264984227,0.00946372239747634
0.85,0.0,-4.594111461619348,-0.051524710830704507,-0.04311251314405887,0.0031545741324921135,0.006309148264984227
0.86,0.0,-4.993690851735016,-0.0590356016223524,-0.04912122577737718,0.0031545741324921135,0.0031545741324921135
0.87,0.0,-5.45474399417617,-0.0677020140742538,-0.059208929871390426,0.0031545741324921135,0.0031545741324921135
0.88,0.0,-5.992639327024186,-0.08096740273396424,-0.0672975814931651,0.0031545741324921135,0.0031545741324921135
0.89,0.0,-6.628333811299112,-0.07370232291367938,-0.0513335245196444,0.0031545741324921135,0.0031545741324921135
0.9,0.0,-7.391167192429024,-0.08517350157728708,-0.06309148264984228,0.0031545741324921135,0.0031545741324921135
0.91,0.0,-8.323519102698917,-0.09919383105502984,-0.07360672975814934,0.0,0.0031545741324921135
0.92,0.0,-9.488958990536284,-0.11987381703470042,-0.050473186119873864,0.0,0.0
0.93,0.0,-10.98738170347004,-0.10049571879224885,-0.06173952230734571,0.0,0.0
0.9400000000000001,0.0,-12.985278654048383,-0.1261829652996847,-0.07676130389064152,0.0,0.0
0.9500000000000001,0.0,-15.782334384858068,-0.09779179810725569,-0.044164037854889676,0.0,0.0
0.9600000000000001,0.0,-19.977917981072594,-0.13249211356466906,-0.06940063091482664,0.0,0.0
0.97,0.0,-26.97055730809672,-0.09884332281808615,-0.09884332281808615,0.0,0.0
0.98,0.0,-40.95583596214507,0.0,-0.15457413249211344,0.0,0.0
0.99,0.0,-82.91167192429015,0.0,0.0,0.0,0.0
